zone,best_seed,val_mape,test_mape,test_mae,test_rmse,val_all,minutes
BE,0,33.11,64.42,74.17,90.23,33.1;36.4;36.9,176.5
FI,1,22.47,24.04,11.43,14.41,38.9;22.5;23.4,173.3
SG,1,0.59,0.9,4.17,6.54,0.6;0.6;0.6,89.5
US-MIDA-PJM,1,6.51,8.3,31.69,40.25,6.6;6.5;7.6,192.6
US-NY-NYIS,1,6.11,7.03,19.22,25.45,6.5;6.1;7.6,108.5
