zone,best_seed,val_mape,test_mape,test_mae,test_rmse,val_all,minutes
BE,1,23.6,35.99,74.38,92.82,28.2;23.6;29.3,109.3
FI,0,23.79,37.24,20.38,23.95,23.8;26.0;24.3,35.7
SG,0,0.56,0.72,3.33,5.34,0.6;0.6;0.6,76.6
US-MIDA-PJM,2,5.19,6.04,19.93,24.55,5.3;5.3;5.2,252.1
US-NY-NYIS,1,6.26,8.9,21.23,28.53,7.1;6.3;6.5,75.3
