zone,best_seed,val_mape,test_mape,test_mae,test_rmse,val_all,minutes
BE,1,24.5,41.57,47.81,55.28,26.0;24.5;26.0,20.1
FI,1,18.89,12.05,6.17,8.19,20.0;18.9;23.4,10.6
SG,2,0.55,0.71,3.31,5.45,0.6;0.6;0.5,20.8
US-MIDA-PJM,1,5.59,5.93,21.54,26.52,5.8;5.6;5.8,51.7
US-NY-NYIS,2,6.03,5.98,16.46,20.46,6.4;6.4;6.0,25.1
