horizon,SG,US-MIDA-PJM,US-NY-NYIS,FI,BE
0,2.6217596336115343,4.782522384006841,8.288790752361354,10.066089321115593,17.803870275492397
1,2.5041212378894135,5.131012733183392,8.39509994602539,10.558046755038017,17.710654164357187
2,2.899277724262148,5.233685059817388,8.74591049269744,11.067865525399359,18.07158806860201
3,3.2086771891260866,5.330425966785783,9.104746851580952,11.60782006826466,18.716554625177075
4,3.238597424747209,5.31793907957112,9.37121101566052,12.058236338320661,19.15552653516879
5,3.0659655185763626,5.705886349186573,9.2648895270143,12.476533247820484,20.039947540135394
6,3.0551013216155107,5.921191368499755,8.95118500780162,12.918114630852982,21.268336447900875
7,3.281831176310558,5.921038583103925,9.347061229115356,13.116952656697888,21.41070035823068
8,3.363996499962487,5.737121670886578,9.453526149757115,13.43405996221447,22.035758318186595
9,3.4771624069316163,6.128956635059564,9.750951135161294,13.480300006033474,22.054841124225234
10,3.4669957204547615,6.22903224375951,10.166751667814756,13.661431946859368,21.738103764880286
11,3.6351896251858715,6.123782440685229,9.748144744209158,13.761668136217212,21.040133331647596
12,3.551069672965143,6.110013222231713,10.386824303129384,13.947448021712837,21.375363061012003
13,3.4654520743301465,6.365527458240427,10.033942945138365,14.338684233961047,21.25501665119083
14,3.3238140277811095,6.352949232069018,10.035440724844568,14.454678474493656,21.549917704963693
15,3.155206335808738,6.336201203271728,10.019039683669364,14.624781749022334,21.57002437565145
16,3.3738193031105914,6.50883637323593,10.045379301802631,14.811135556956565,21.03367823564942
17,3.4610533015372633,6.6184964630512795,10.438481089609276,14.739176500036066,22.224157804569007
18,3.48241660557251,6.7894402036689145,10.700334087859545,14.561108118954213,21.492763224128257
19,3.2954854229931247,6.859024675526085,10.690992510916933,14.754317310682644,21.470546123778227
20,3.312229474933807,6.599781028791278,10.894927996806018,14.603688942721313,20.93661396860403
21,3.5248039628135794,6.74549273882686,11.113997956819535,14.513205039412549,21.192939630252436
22,3.5373007642397787,6.953470030740215,11.386857904169515,14.824450583105309,20.736546929844106
23,3.4934728064051837,7.214863494354096,11.262135866358058,14.679555448316917,21.3742281507457
24,3.5030693649919433,7.370533303547518,11.810806226829154,14.742342196139477,21.41576283992011
25,3.384071021091196,7.619469091888291,11.907221897572157,14.900753073749726,20.734167197848038
26,3.5156438500077187,7.543496999163528,11.949943296181324,14.869331462197605,21.51208654896212
27,3.6097589047024834,7.439036485439987,11.909629806093815,14.704089584150672,20.860433997982078
28,3.8663747219026012,7.497006990819354,12.155639716090732,14.6615726775853,21.75820379622454
29,3.813307014741448,7.770515154830343,12.113533509539865,14.53213559116477,22.839932595639286
30,3.929767343045222,7.7741244360093535,12.229573116696859,14.754992521409829,22.73164145405969
31,3.9649246010455053,7.810574766679451,12.169301890598204,14.497293080803505,23.204365072388686
32,3.91290891755798,7.8454103537199575,12.114294053697034,14.439896240175878,22.58141439315617
33,3.822034977062617,8.032708070529672,12.471761318513572,14.611227137135996,23.171507340931903
34,4.086606469767692,8.043316143297975,12.566980852055334,14.686753387422824,24.114013072828026
35,4.123121357219431,8.04234420155948,12.81090299933441,14.513523677545296,23.471113293072037
36,4.0573627316005005,8.08437324981156,12.441532188904194,14.83412506203349,23.478192520265893
37,3.957529677016997,8.244815288497136,12.807985278043743,15.053302397219854,22.989021982927937
38,3.9579530323675116,8.235743707148014,12.796352008518394,15.429862866377253,23.14333938878097
39,3.8516439099059006,8.30380327593261,12.572070545504141,15.527043443269609,23.12078727848187
40,3.9759547474656274,8.238590623204388,12.571254432178627,15.722979298676565,22.58941069785458
41,4.323955324673152,8.207504383386462,12.84326154956657,15.860107717500021,22.86630603118402
42,4.46910343514507,8.177099686802329,12.871363314755326,16.128847961026082,23.104231568400632
43,4.514655429392719,8.166189828911119,12.763557394514887,16.213411309029766,22.25520932388772
44,4.595873254459846,8.138698623233399,12.674936136195939,16.356240753680826,23.178074940608894
45,4.8065374932304605,8.361347850510795,13.337803490951435,16.626764647279867,23.443868368706344
46,4.507780642065049,8.295321349625025,12.927630693612723,16.807202610485795,24.104229257877837
47,4.5046866297071855,8.394960095499005,13.195920270468866,17.257904668150783,22.438559893152267
48,4.4607678366367125,8.206395784101835,13.153192796707936,17.23765471129721,22.457045984167756
49,4.22779890502048,8.463681380821988,13.490463658894534,17.321959933290888,22.171621071357787
50,4.223002833359243,8.424400600503745,13.175282069206323,17.25728203196929,22.96445237219866
